datetime,Ta_2m,Huma_2m,Ta_10m,Huma_10m,water_vol_soil,Ts,heatflux_soil,Windspeed_2m,Windspeed_10m,rad_lw_out,CNR4TK,rad_lw,To_0m_K ,To_0m_C,rad_bil

30.06.2017 00:00,13.09,100,13.6,97.6,0.344,16.31,1.551533,0.448,0.529,-2.219,285.6,375.0,285.2,12.0,-15.2
30.06.2017 00:05,13.01,100,13.51,97.7,0.344,16.29,1.492695,0.38,0.409,-2.045,285.5,374.7,285.1,12.0,-8.92
30.06.2017 00:10,13.02,100,13.66,96.5,0.344,16.25,1.448708,0.548,0.67,-1.297,285.6,375.9,285.4,12.2,-1.965
30.06.2017 00:15,13.16,100,13.76,96.1,0.344,16.25,1.390439,0.581,0.658,-0.723,285.8,377.6,285.7,12.5,-1.79
30.06.2017 00:20,13.27,100,13.8,96.4,0.344,16.22,1.325316,0.764,0.887,-0.374,286,379.0,285.9,12.8,-2.469
30.06.2017 00:25,13.69,98.1,14.25,92.4,0.344,16.19,1.268762,0.589,0.744,0.1,286.2,380.5,286.2,13.1,-3.857
30.06.2017 00:30,13.75,98.3,14.36,92.6,0.344,16.16,1.218492,0.602,0.712,0.075,286.3,381.0,286.3,13.2,-4.109
30.06.2017 00:35,13.65,99.4,14.2,94.6,0.344,16.13,1.147087,0.714,0.696,0,286.4,381.5,286.4,13.3,-6.122
30.06.2017 00:40,13.61,99.9,14.03,95.6,0.344,16.11,1.111099,0.637,0.743,-0.15,286.4,381.3,286.4,13.2,-8.4
30.06.2017 00:45,13.72,99.3,14.22,94.3,0.344,16.09,1.059116,0.553,0.84,-0.025,286.5,382.0,286.5,13.3,-9.09
30.06.2017 00:50,13.64,99.8,14.06,95.8,0.344,16.07,1.013416,0.363,0.459,-0.224,286.5,381.8,286.5,13.3,-9.43
30.06.2017 00:55,13.58,100,13.93,97.3,0.344,16.03,0.9762847,0.14,0.308,-0.249,286.4,381.2,286.4,13.2,-9.98
30.06.2017 01:00,13.55,100,13.81,98.1,0.344,16.04,0.9305829,0.321,0.389,-0.249,286.4,381.2,286.4,13.2,-9.94
30.06.2017 01:05,13.49,100,13.73,98.4,0.344,16.02,0.9077301,0.149,0.274,-0.274,286.4,381.2,286.3,13.2,-10.67
30.06.2017 01:10,13.45,100,13.67,98.8,0.344,16.01,0.8620263,0.203,0.294,-0.299,286.3,380.7,286.2,13.1,-9.79
30.06.2017 01:15,13.45,100,13.65,99,0.344,15.99,0.8100379,0.328,0.449,-0.249,286.3,380.7,286.3,13.1,-9.03
30.06.2017 01:20,13.46,100,13.65,99,0.344,15.99,0.7403415,0.416,0.618,-0.249,286.3,380.7,286.3,13.1,-8.71
30.06.2017 01:25,13.45,100,13.64,98.9,0.345,15.98,0.7260579,0.385,0.623,-0.249,286.3,380.7,286.3,13.1,-8.66
30.06.2017 01:30,13.45,100,13.68,98.7,0.345,15.98,0.6912114,0.219,0.38,-0.249,286.3,380.7,286.3,13.1,-8.42
30.06.2017 01:35,13.46,100,13.67,99,0.345,15.97,0.6432275,0.286,0.427,-0.249,286.3,380.7,286.3,13.1,-8.34
30.06.2017 01:40,13.45,100,13.65,99.2,0.345,15.95,0.6095245,0.302,0.481,-0.249,286.3,380.7,286.3,13.1,-8.71
30.06.2017 01:45,13.45,100,13.63,99.3,0.345,15.95,0.5478299,0.317,0.431,-0.249,286.3,380.7,286.3,13.1,-9.29
30.06.2017 01:50,13.46,100,13.66,99,0.345,15.94,0.5352631,0.3,0.518,-0.249,286.3,380.7,286.3,13.1,-10.34
30.06.2017 01:55,13.41,100,13.64,99,0.345,15.94,0.4998466,0.31,0.272,-0.449,286.3,380.5,286.2,13.1,-12.56
30.06.2017 02:00,13.4,100,13.61,99.2,0.344,15.93,0.4707146,0.355,0.581,-0.598,286.2,379.8,286.1,12.9,-17.42
30.06.2017 02:05,13.38,100,13.57,99.2,0.344,15.93,0.4598622,0.458,0.629,-0.923,286.2,379.5,286.0,12.9,-22.52
30.06.2017 02:10,13.33,100,13.53,99.2,0.344,15.91,0.3827429,0.508,0.786,-1.272,286,378.1,285.8,12.6,-25.23
30.06.2017 02:15,13.23,100,13.49,98.7,0.344,15.9,0.3638917,0.572,0.615,-1.546,285.9,377.3,285.6,12.5,-26.06
30.06.2017 02:20,13.11,100,13.5,97.7,0.345,15.92,0.3438981,0.525,0.782,-1.721,285.8,376.6,285.5,12.3,-24.64
30.06.2017 02:25,13.01,100,13.44,97.8,0.345,15.9,0.3050527,0.353,0.94,-1.745,285.7,376.0,285.4,12.2,-21.85
30.06.2017 02:30,12.9,100,13.35,98.5,0.345,15.89,0.2827733,0.323,0.469,-1.671,285.5,375.0,285.2,12.0,-17.47
30.06.2017 02:35,12.9,100,13.22,98.8,0.345,15.89,0.2205056,0.292,0.467,-1.446,285.5,375.3,285.2,12.1,-15.71
30.06.2017 02:40,12.85,100,13.17,99.1,0.345,15.88,0.2056524,0.385,0.572,-1.471,285.5,375.2,285.2,12.1,-16.13
30.06.2017 02:45,12.86,100,13.15,99.2,0.345,15.86,0.1685204,0.281,0.642,-1.496,285.4,374.7,285.1,12.0,-13.99
30.06.2017 02:50,12.87,100,13.14,99,0.345,15.86,0.1256759,0.443,0.81,-1.272,285.5,375.4,285.3,12.1,-11.59
30.06.2017 02:55,12.88,100,13.16,98.6,0.345,15.83,0.1016829,0.526,0.947,-1.272,285.5,375.4,285.3,12.1,-13.27
30.06.2017 03:00,12.83,100,13.19,98,0.345,15.82,0.09140029,0.465,0.956,-1.247,285.5,375.5,285.3,12.1,-16.33
30.06.2017 03:05,12.76,100,13.15,97.8,0.345,15.8,0.03427514,0.411,0.937,-1.322,285.5,375.4,285.2,12.1,-18.89
30.06.2017 03:10,12.7,100,13.08,97.8,0.345,15.79,0.04227275,0.393,0.638,-1.571,285.3,374.1,285.0,11.9,-17.71
30.06.2017 03:15,12.62,100,13,98,0.345,15.76,-0.0257064,0.401,0.682,-1.646,285.3,374.0,285.0,11.8,-14.69
30.06.2017 03:20,12.57,100,12.9,98.6,0.345,15.73,-0.05027022,0.384,0.678,-1.496,285.2,373.6,284.9,11.8,-9.02
